GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kafkapoc-core,com.capgemini.kafka.general.common.impl.config,CsrfTokenImpl,0,24,0,0,0,10,0,7,0,7
kafkapoc-core,com.capgemini.kafka.general.common.impl.config,ApplicationObjectMapperFactory,0,25,0,0,0,6,0,1,0,1
kafkapoc-core,com.capgemini.kafka.general.common.impl.config,BeansDozerConfig,0,16,0,0,0,4,0,2,0,2
kafkapoc-core,com.capgemini.kafka.general.common.base,AbstractBeanMapperSupport,3,7,0,0,1,3,1,2,1,2
kafkapoc-core,com.capgemini.kafka.general.logic.impl,UcManageBinaryObjectImpl,44,3,0,0,8,1,4,1,4,1
kafkapoc-core,com.capgemini.kafka.general.logic.impl.config,DefaultRolesPrefixPostProcessor,0,44,0,8,0,14,0,8,0,4
kafkapoc-core,com.capgemini.kafka,SpringBootApp,5,3,0,0,2,1,1,1,1,1
kafkapoc-core,com.capgemini.kafka.general.service.impl,LoginController,50,3,10,0,13,1,6,1,1,1
kafkapoc-core,com.capgemini.kafka.general.common.impl.security,BaseUserDetailsService,31,96,2,4,8,25,3,9,1,8
kafkapoc-core,com.capgemini.kafka.general.common.impl.security,CsrfRequestMatcher,55,26,8,0,12,3,6,2,2,2
kafkapoc-core,com.capgemini.kafka.general.dataaccess.api,ApplicationPersistenceEntity,44,6,2,0,14,3,6,2,5,2
kafkapoc-core,com.capgemini.kafka.general.dataaccess.api,BinaryObjectEntity,21,3,0,0,9,2,6,1,6,1
kafkapoc-core,com.capgemini.kafka.general.logic.base,AbstractComponentFacade,3,0,0,0,2,0,1,0,1,0
kafkapoc-core,com.capgemini.kafka.general.logic.base,AbstractUc,0,3,0,0,0,2,0,1,0,1
kafkapoc-core,com.capgemini.kafka.general.logic.base,AbstractLogic,58,3,8,0,14,2,6,1,2,1
kafkapoc-core,com.capgemini.kafka.general.common.api.security,ApplicationAccessControlConfig,0,28,0,0,0,4,0,1,0,1
kafkapoc-core,com.capgemini.kafka.general.service.impl.config,ServletInitializer,9,3,0,0,1,1,1,1,1,1
kafkapoc-core,com.capgemini.kafka.general.service.impl.config,WebConfig,0,88,0,0,0,22,0,5,0,5
kafkapoc-core,com.capgemini.kafka.general.service.impl.config,WebSecurityConfig,3,0,0,0,1,0,1,0,1,0
kafkapoc-core,com.capgemini.kafka.general.service.impl.config,WebSecurityBeansConfig,0,22,0,0,0,6,0,6,0,6
kafkapoc-core,com.capgemini.kafka.general.service.impl.config,BaseWebSecurityConfig,54,208,1,1,15,31,2,5,1,5
kafkapoc-core,com.capgemini.kafka.general.service.impl.rest,ApplicationAccessDeniedHandler,20,7,2,0,6,3,2,2,1,2
kafkapoc-core,com.capgemini.kafka.general.service.impl.rest,SecurityRestServiceImpl,4,59,3,3,1,19,3,5,0,5
